timestamp,mid_price,spread,best_bid,best_ask,bid_prices,bid_quantities,ask_prices,ask_quantities,bid_volume,ask_volume
1700000000.0,1000.0076,0.47,999.77,1000.24,"[999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37, 999.32]","[119.0, 18.0, 7.0, 138.0, 155.0, 391.0, 11.0, 162.0, 12.0, 201.0]","[1000.24, 1000.29, 1000.34, 1000.39, 1000.44, 1000.49, 1000.54, 1000.59, 1000.64, 1000.69]","[87.0, 25.0, 99.0, 15.0, 10.0, 39.0, 126.0, 64.0, 212.0, 41.0]",1214.0,718.0
1700000000.1,1000.0382,0.24,999.92,1000.16,"[999.92, 999.87, 999.82, 999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47]","[33.0, 27.0, 36.0, 7.0, 20.0, 86.0, 54.0, 196.0, 120.0, 44.0]","[1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56, 1000.61]","[23.0, 42.0, 28.0, 31.0, 97.0, 37.0, 187.0, 216.0, 184.0, 14.0]",623.0,859.0
1700000000.2,1000.0215,0.27,999.89,1000.16,"[999.89, 999.84, 999.79, 999.74, 999.69, 999.64, 999.59, 999.54, 999.49, 999.44]","[56.0, 18.0, 26.0, 16.0, 39.0, 3.0, 23.0, 204.0, 679.0, 104.0]","[1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56, 1000.61]","[14.0, 26.0, 29.0, 12.0, 119.0, 172.0, 211.0, 823.0, 358.0, 304.0]",1168.0,2068.0
1700000000.3,1000.0393,0.12,999.98,1000.1,"[999.98, 999.93, 999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53]","[2.0, 62.0, 50.0, 143.0, 223.0, 42.0, 7.0, 143.0, 434.0, 152.0]","[1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55]","[107.0, 49.0, 105.0, 27.0, 15.0, 18.0, 16.0, 8.0, 292.0, 83.0]",1258.0,720.0
1700000000.4,1000.0276,0.19,999.93,1000.12,"[999.93, 999.88, 999.83, 999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48]","[9.0, 125.0, 103.0, 31.0, 22.0, 66.0, 43.0, 12.0, 86.0, 417.0]","[1000.12, 1000.17, 1000.22, 1000.27, 1000.32, 1000.37, 1000.42, 1000.47, 1000.52, 1000.57]","[50.0, 200.0, 164.0, 106.0, 204.0, 91.0, 149.0, 59.0, 37.0, 397.0]",914.0,1457.0
1700000000.5,1000.0486,0.1,1000.0,1000.1,"[1000.0, 999.95, 999.9, 999.85, 999.8, 999.75, 999.7, 999.65, 999.6, 999.55]","[16.0, 63.0, 33.0, 65.0, 238.0, 193.0, 164.0, 26.0, 202.0, 84.0]","[1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55]","[6.0, 26.0, 6.0, 87.0, 107.0, 37.0, 6.0, 423.0, 137.0, 275.0]",1084.0,1110.0
1700000000.6,1000.0389,0.34,999.87,1000.21,"[999.87, 999.82, 999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42]","[82.0, 6.0, 435.0, 64.0, 154.0, 30.0, 138.0, 44.0, 274.0, 86.0]","[1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56, 1000.61, 1000.66]","[39.0, 34.0, 60.0, 45.0, 67.0, 4.0, 222.0, 389.0, 99.0, 630.0]",1313.0,1589.0
1700000000.7,999.997,0.56,999.72,1000.28,"[999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37, 999.32, 999.27]","[18.0, 43.0, 195.0, 12.0, 21.0, 168.0, 138.0, 45.0, 75.0, 139.0]","[1000.28, 1000.33, 1000.38, 1000.43, 1000.48, 1000.53, 1000.58, 1000.63, 1000.68, 1000.73]","[95.0, 23.0, 61.0, 34.0, 33.0, 267.0, 78.0, 208.0, 51.0, 34.0]",854.0,884.0
1700000000.8,999.9663,0.29,999.82,1000.11,"[999.82, 999.77, 999.72, 999.67, 999.62, 999.57, 999.52, 999.47, 999.42, 999.37]","[48.0, 77.0, 82.0, 104.0, 248.0, 353.0, 93.0, 14.0, 239.0, 157.0]","[1000.11, 1000.16, 1000.21, 1000.26, 1000.31, 1000.36, 1000.41, 1000.46, 1000.51, 1000.56]","[122.0, 68.0, 11.0, 100.0, 63.0, 14.0, 38.0, 539.0, 68.0, 48.0]",1415.0,1071.0
1700000000.9,999.9824,0.41,999.78,1000.19,"[999.78, 999.73, 999.68, 999.63, 999.58, 999.53, 999.48, 999.43, 999.38, 999.33]","[54.0, 13.0, 1.0, 42.0, 17.0, 258.0, 15.0, 106.0, 173.0, 531.0]","[1000.19, 1000.24, 1000.29, 1000.34, 1000.39, 1000.44, 1000.49, 1000.54, 1000.59, 1000.64]","[15.0, 113.0, 61.0, 164.0, 39.0, 42.0, 35.0, 162.0, 110.0, 160.0]",1210.0,901.0
